node_id,cx,cy,i,j,seed_row,seed_col,col_hat_float,row_hat_float,col_hat_round,row_hat_round,final_row,final_col,source,notes
n0,545.756066,820.859439,147,257,,,9.914423,13.048173,10,13,13,10,computed,
n1,497.417010,821.189935,134,259,,,9.054353,13.173122,9,13,13,9,computed,
n2,546.266067,771.570988,149,234,,,10.046741,11.611268,10,12,12,10,computed,
n3,595.462060,820.349437,166,256,,,11.171447,12.985699,11,13,13,11,computed,
n4,497.531981,771.060986,135,233,,,9.120512,11.548793,9,12,12,9,computed,
n5,545.586065,869.251051,146,283,,,9.848263,14.672502,10,15,15,10,computed,
n6,496.907008,868.741050,131,282,,,8.855876,14.610028,9,15,15,9,computed,
n7,596.232048,771.060986,169,233,,,11.369925,11.548793,11,12,12,11,computed,
n8,595.042044,869.931054,163,286,,,10.972970,14.859924,11,15,15,11,computed,
n9,545.416064,723.160944,145,212,,,9.782104,10.236836,10,10,10,10,computed,
n10,595.632060,722.820942,167,211,,,11.237606,10.174362,11,10,10,11,computed,
n11,498.211984,724.690949,140,218,,,9.451308,10.611681,9,11,11,9,computed,
n12,449.937743,724.991039,122,219,,,8.260443,10.674155,8,11,11,8,computed,
n13,449.937743,820.859439,122,257,,,8.260443,13.048173,8,13,13,8,computed,
n14,449.937743,771.570988,122,234,,,8.260443,11.611268,8,12,12,8,computed,
n15,546.752163,918.656213,151,315,,,10.179059,16.671675,10,17,17,10,computed,
n16,640.032829,821.521968,180,261,,,12.097676,13.298070,12,13,13,12,computed,
n17,451.099174,871.243246,127,292,,,8.591239,15.234769,9,15,15,9,computed,
n18,647.005510,773.753780,191,240,,,12.825427,11.986113,13,12,12,13,computed,
n19,643.685186,872.061374,188,294,,,12.626949,15.359718,13,15,15,13,computed,
n20,643.021121,724.157041,186,217,,,12.494631,10.549207,12,11,11,12,computed,
n21,498.081075,919.019467,139,317,,,9.385149,16.796624,9,17,17,9,computed,
n22,597.122222,919.351499,172,319,,,11.568402,16.921572,12,17,17,12,computed,
n23,450.435110,918.023369,124,313,,,8.392761,16.546727,8,17,17,8,computed,
n24,642.025023,917.691337,183,312,,,12.296153,16.484253,12,16,16,12,computed,
n25,303.501466,819.568683,85,253,,,5.812553,12.798277,6,13,13,6,computed,
n26,255.162410,819.899180,72,254,,,4.952483,12.860751,5,13,13,5,computed,
n27,304.011467,770.280233,87,231,,,5.944871,11.423845,6,11,11,6,computed,
n28,353.207460,819.058681,96,251,,,6.540304,12.673328,7,13,13,7,computed,
n29,255.277381,769.770231,73,230,,,5.018643,11.361371,5,11,11,5,computed,
n30,303.331465,867.960296,84,281,,,5.746394,14.547553,6,15,15,6,computed,
n31,254.652408,867.450294,69,279,,,4.754006,14.422605,5,14,14,5,computed,
n32,353.977448,769.770231,99,230,,,6.738781,11.361371,7,11,11,7,computed,
n33,352.787444,868.640298,93,282,,,6.341826,14.610028,6,15,15,6,computed,
n34,303.161464,721.870188,83,209,,,5.680234,10.049413,6,10,10,6,computed,
n35,353.377460,721.530187,97,208,,,6.606463,9.986939,7,10,10,7,computed,
n36,255.957384,723.400194,78,213,,,5.349439,10.299310,5,10,10,5,computed,
n37,207.683143,723.700284,59,214,,,4.092414,10.361784,4,10,10,4,computed,
n38,207.683143,819.568683,59,253,,,4.092414,12.798277,4,13,13,4,computed,
n39,207.683143,770.280233,59,231,,,4.092414,11.423845,4,11,11,4,computed,
n40,304.497563,917.365457,89,311,,,6.077190,16.421779,6,16,16,6,computed,
n41,397.778229,820.231213,105,255,,,7.135737,12.923225,7,13,13,7,computed,
n42,208.844574,869.952491,65,286,,,4.489369,14.859924,4,15,15,4,computed,
n43,404.750910,772.463024,118,237,,,7.995806,11.798690,8,12,12,8,computed,
n44,401.430586,870.770619,113,290,,,7.665010,15.109821,8,15,15,8,computed,
n45,400.766521,722.866286,111,211,,,7.532692,10.174362,8,10,10,8,computed,
n46,255.826475,917.728711,77,312,,,5.283279,16.484253,5,16,16,5,computed,
n47,354.867622,918.060744,102,313,,,6.937259,16.546727,7,17,17,7,computed,
n48,208.180510,916.732614,62,309,,,4.290891,16.296830,4,16,16,4,computed,
n49,399.770423,916.400581,108,307,,,7.334214,16.171882,7,16,16,7,computed,
n50,1031.850768,823.203670,312,269,,,20.830689,13.797863,21,14,14,21,computed,
n51,983.511713,823.534166,298,270,,,19.904460,13.860338,20,14,14,20,computed,
n52,1032.360770,773.915219,314,241,,,20.963007,12.048587,21,12,12,21,computed,
n53,1081.556763,822.693668,324,268,,,21.624599,13.735389,22,14,14,22,computed,
n54,983.626684,773.405217,299,239,,,19.970619,11.923638,20,12,12,20,computed,
n55,1031.680768,871.595282,311,293,,,20.764530,15.297243,21,15,15,21,computed,
n56,983.001711,871.085280,295,291,,,19.705983,15.172295,20,15,15,20,computed,
n57,1082.326751,773.405217,327,239,,,21.823077,11.923638,22,12,12,22,computed,
n58,1081.136747,872.275285,321,295,,,21.426122,15.422192,21,15,15,21,computed,
n59,1031.510767,725.505174,310,221,,,20.698370,10.799103,21,11,11,21,computed,
n60,1081.726763,725.165173,325,220,,,21.690758,10.736629,22,11,11,22,computed,
n61,984.306687,727.035180,304,225,,,20.301415,11.049000,20,11,11,20,computed,
n62,936.032446,727.335270,285,226,,,19.044391,11.111474,19,11,11,19,computed,
n63,936.032446,823.203670,285,269,,,19.044391,13.797863,19,14,14,19,computed,
n64,936.032446,773.915219,285,241,,,19.044391,12.048587,19,12,12,19,computed,
n65,1032.846866,921.000443,316,325,,,21.095326,17.296417,21,17,17,21,computed,
n66,1126.127532,823.866199,335,271,,,22.352350,13.922812,22,14,14,22,computed,
n67,937.193877,873.587477,289,298,,,19.309027,15.609614,19,16,16,19,computed,
n68,1133.100213,776.098011,344,244,,,22.947783,12.236009,23,12,12,23,computed,
n69,1129.779888,874.405605,342,299,,,22.815465,15.672088,23,16,16,23,computed,
n70,1129.115824,726.501272,340,224,,,22.683146,10.986526,23,11,11,23,computed,
n71,984.175778,921.363697,303,326,,,20.235256,17.358891,20,17,17,20,computed,
n72,1083.216925,921.695730,330,327,,,22.021554,17.421365,22,17,17,22,computed,
n73,936.529812,920.367600,287,324,,,19.176709,17.233943,19,17,17,19,computed,
n74,1128.119726,920.035568,338,322,,,22.550828,17.108994,23,17,17,23,computed,
n75,789.596169,821.912914,235,263,,,15.736431,13.423018,16,13,13,16,computed,
n76,741.257113,822.243411,217,265,,,14.545566,13.547967,15,14,14,15,computed,
n77,790.106170,772.624464,237,238,,,15.868750,11.861164,16,12,12,16,computed,
n78,839.302163,821.402912,254,260,,,16.993456,13.235596,17,13,13,17,computed,
n79,741.372084,772.114462,218,236,,,14.611725,11.736216,15,12,12,15,computed,
n80,789.426168,870.304527,234,288,,,15.670272,14.984873,16,15,15,16,computed,
n81,740.747111,869.794525,214,285,,,14.347088,14.797450,14,15,15,14,computed,
n82,840.072151,772.114462,259,236,,,17.324252,11.736216,17,12,12,17,computed,
n83,838.882147,870.984529,251,291,,,16.794978,15.172295,17,15,15,17,computed,
n84,789.256167,724.214419,233,217,,,15.604113,10.549207,16,11,11,16,computed,
n85,839.472163,723.874418,255,215,,,17.059615,10.424258,17,10,10,17,computed,
n86,742.052087,725.744425,223,222,,,14.942521,10.861578,15,11,11,15,computed,
n87,693.777846,726.044515,200,223,,,13.420860,10.924052,13,11,11,13,computed,
n88,693.777846,821.912914,200,263,,,13.420860,13.423018,13,13,13,13,computed,
n89,693.777846,772.624464,200,238,,,13.420860,11.861164,13,12,12,13,computed,
n90,790.592266,919.709688,239,320,,,16.001068,16.984046,16,17,17,16,computed,
n91,883.872932,822.575443,267,267,,,17.853525,13.672915,18,14,14,18,computed,
n92,694.939277,872.296721,206,295,,,13.817815,15.422192,14,15,15,14,computed,
n93,890.845613,774.807255,279,243,,,18.647436,12.173535,19,12,12,19,computed,
n94,887.525289,873.114849,275,297,,,18.382799,15.547140,18,16,16,18,computed,
n95,886.861224,725.210516,273,220,,,18.250480,10.736629,18,11,11,18,computed,
n96,741.921178,920.072942,222,322,,,14.876362,17.108994,15,17,17,15,computed,
n97,840.962325,920.404974,262,324,,,17.522729,17.233943,18,17,17,18,computed,
n98,694.275212,919.076845,202,317,,,13.553178,16.796624,14,17,17,14,computed,
n99,885.865126,918.744812,271,315,,,18.118162,16.671675,18,17,17,18,computed,
n100,545.439415,581.329767,145,137,,,9.782104,5.551273,10,6,6,10,computed,
n101,497.100359,581.660263,132,139,,,8.922035,5.676221,9,6,6,9,computed,
n102,545.949417,532.041316,148,117,,,9.980582,4.301790,10,4,4,10,computed,
n103,595.145409,580.819765,164,136,,,11.039129,5.488799,11,5,5,11,computed,
n104,497.215330,531.531314,133,116,,,8.988194,4.239316,9,4,4,9,computed,
n105,545.269414,629.721379,144,162,,,9.715945,7.113127,10,7,7,10,computed,
n106,496.590357,629.211378,130,161,,,8.789716,7.050653,9,7,7,9,computed,
n107,595.915397,531.531314,168,116,,,11.303766,4.239316,11,4,4,11,computed,
n108,594.725393,630.401382,162,165,,,10.906810,7.300550,11,7,7,11,computed,
n109,545.099414,483.631272,143,95,,,9.649786,2.927358,10,3,3,10,computed,
n110,595.315410,483.291270,165,94,,,11.105288,2.864884,11,3,3,11,computed,
n111,497.895333,485.161277,138,101,,,9.318990,3.302203,9,3,3,9,computed,
n112,449.621092,485.461367,121,102,,,8.194284,3.364677,8,3,3,8,computed,
n113,449.621092,581.329767,121,137,,,8.194284,5.551273,8,6,6,8,computed,
n114,449.621092,532.041316,121,117,,,8.194284,4.301790,8,4,4,8,computed,
n115,546.435512,679.126541,150,191,,,10.112900,8.924878,10,9,9,10,computed,
n116,639.716178,581.992296,179,141,,,12.031517,5.801170,12,6,6,12,computed,
n117,450.782524,631.713574,126,170,,,8.525080,7.612921,9,8,8,9,computed,
n118,646.688859,534.224108,190,123,,,12.759268,4.676635,13,5,5,13,computed,
n119,643.368535,632.531702,187,172,,,12.560790,7.737869,13,8,8,13,computed,
n120,642.704470,484.627369,185,100,,,12.428472,3.239729,12,3,3,12,computed,
n121,497.764424,679.489795,137,193,,,9.252831,9.049827,9,9,9,9,computed,
n122,596.805571,679.821827,171,194,,,11.502243,9.112301,12,9,9,12,computed,
n123,450.118459,678.493697,123,189,,,8.326602,8.799930,8,9,9,8,computed,
n124,641.708373,678.161665,182,188,,,12.229994,8.737456,12,9,9,12,computed,
n125,303.184815,580.039011,83,133,,,5.680234,5.301376,6,5,5,6,computed,
n126,254.845759,580.369508,70,134,,,4.820165,5.363851,5,5,5,5,computed,
n127,303.694817,530.750561,86,114,,,5.878712,4.114367,6,4,4,6,computed,
n128,352.890809,579.529009,94,132,,,6.407986,5.238902,6,5,5,6,computed,
n129,254.960731,530.240559,71,113,,,4.886324,4.051893,5,4,4,5,computed,
n130,303.014814,628.430624,82,160,,,5.614075,6.988179,6,7,7,6,computed,
n131,254.335757,627.920622,68,158,,,4.687847,6.863231,5,7,7,5,computed,
n132,353.660797,530.240559,98,113,,,6.672622,4.051893,7,4,4,7,computed,
n133,352.470793,629.110626,92,161,,,6.275667,7.050653,6,7,7,6,computed,
n134,302.844814,482.340516,81,92,,,5.547916,2.739936,6,3,3,6,computed,
n135,353.060810,482.000515,95,91,,,6.474145,2.677461,6,3,3,6,computed,
n136,255.640733,483.870522,76,96,,,5.217120,2.989832,5,3,3,5,computed,
n137,207.366492,484.170612,58,97,,,4.026255,3.052306,4,3,3,4,computed,
n138,207.366492,580.039011,58,133,,,4.026255,5.301376,4,5,5,4,computed,
n139,207.366492,530.750561,58,114,,,4.026255,4.114367,4,4,4,4,computed,
n140,304.180912,677.835785,88,187,,,6.011030,8.674982,6,9,9,6,computed,
n141,397.461578,580.701541,104,135,,,7.069577,5.426325,7,5,5,7,computed,
n142,208.527924,630.422819,64,165,,,4.423210,7.300550,4,7,7,4,computed,
n143,404.434259,532.933352,117,120,,,7.929647,4.489212,8,4,4,8,computed,
n144,401.113935,631.240947,112,168,,,7.598851,7.487972,8,7,7,8,computed,
n145,400.449870,483.336614,110,94,,,7.466533,2.864884,7,3,3,7,computed,
n146,255.509824,678.199039,75,188,,,5.150961,8.737456,5,9,9,5,computed,
n147,354.550971,678.531072,101,189,,,6.871100,8.799930,7,9,9,7,computed,
n148,207.863859,677.202942,60,185,,,4.158573,8.550033,4,9,9,4,computed,
n149,399.453773,676.870909,107,184,,,7.268055,8.487559,7,8,8,7,computed,
n150,1031.534118,583.673997,310,149,,,20.698370,6.300963,21,6,6,21,computed,
n151,983.195062,584.004494,296,150,,,19.772142,6.363437,20,6,6,20,computed,
n152,1032.044119,534.385547,313,124,,,20.896848,4.739109,21,5,5,21,computed,
n153,1081.240112,583.163996,322,148,,,21.492281,6.238489,21,6,6,21,computed,
n154,983.310033,533.875545,297,122,,,19.838301,4.614161,20,5,5,20,computed,
n155,1031.364117,632.065610,309,171,,,20.632211,7.675395,21,8,8,21,computed,
n156,982.685060,631.555608,294,169,,,19.639823,7.550447,20,8,8,20,computed,
n157,1082.010100,533.875545,326,122,,,21.756918,4.614161,22,5,5,22,computed,
n158,1080.820096,632.745613,320,173,,,21.359962,7.800343,21,8,8,21,computed,
n159,1031.194116,485.975502,308,104,,,20.566052,3.489626,21,3,3,21,computed,
n160,1081.410112,485.635501,323,103,,,21.558440,3.427151,22,3,3,22,computed,
n161,983.990036,487.505508,302,108,,,20.169097,3.739522,20,4,4,20,computed,
n162,935.715795,487.805598,284,109,,,18.978232,3.801996,19,4,4,19,computed,
n163,935.715795,583.673997,284,149,,,18.978232,6.300963,19,6,6,19,computed,
n164,935.715795,534.385547,284,124,,,18.978232,4.739109,19,5,5,19,computed,
n165,1032.530215,681.470771,315,201,,,21.029166,9.549620,21,10,10,21,computed,
n166,1125.810881,584.336527,334,151,,,22.286191,6.425912,22,6,6,22,computed,
n167,936.877226,634.057805,288,176,,,19.242868,7.987766,19,8,8,19,computed,
n168,1132.783562,536.568339,343,127,,,22.881624,4.926531,23,5,5,23,computed,
n169,1129.463238,634.875933,341,177,,,22.749305,8.050240,23,8,8,23,computed,
n170,1128.799173,486.971600,339,107,,,22.616987,3.677048,23,4,4,23,computed,
n171,983.859127,681.834025,301,202,,,20.102938,9.612094,20,10,10,20,computed,
n172,1082.900274,682.166058,329,203,,,21.955395,9.674568,22,10,10,22,computed,
n173,936.213162,680.837928,286,200,,,19.110550,9.487146,19,9,9,19,computed,
n174,1127.803075,680.505896,337,198,,,22.484669,9.362197,22,9,9,22,computed,
n175,789.279518,582.383242,233,143,,,15.604113,5.926118,16,6,6,16,computed,
n176,740.940462,582.713739,215,145,,,14.413247,6.051067,14,6,6,14,computed,
n177,789.789520,533.094792,236,121,,,15.802590,4.551686,16,5,5,16,computed,
n178,838.985512,581.873240,252,140,,,16.861137,5.738696,17,6,6,17,computed,
n179,741.055433,532.584790,216,119,,,14.479407,4.426738,14,4,4,14,computed,
n180,789.109517,630.774855,232,167,,,15.537954,7.425498,16,7,7,16,computed,
n181,740.430460,630.264853,213,164,,,14.280929,7.238076,14,7,7,14,computed,
n182,839.755500,532.584790,257,119,,,17.191933,4.426738,17,4,4,17,computed,
n183,838.565496,631.454857,250,169,,,16.728819,7.550447,17,8,8,17,computed,
n184,788.939516,484.684747,231,100,,,15.471795,3.239729,15,3,3,15,computed,
n185,839.155513,484.344746,253,98,,,16.927297,3.114781,17,3,3,17,computed,
n186,741.735436,486.214753,221,105,,,14.810203,3.552100,15,4,4,15,computed,
n187,693.461195,486.514843,199,106,,,13.354700,3.614574,13,4,4,13,computed,
n188,693.461195,582.383242,199,143,,,13.354700,5.926118,13,6,6,13,computed,
n189,693.461195,533.094792,199,121,,,13.354700,4.551686,13,5,5,13,computed,
n190,790.275615,680.180016,238,196,,,15.934909,9.237249,16,9,9,16,computed,
n191,883.556281,583.045771,266,147,,,17.787366,6.176015,18,6,6,18,computed,
n192,694.622627,632.767049,204,173,,,13.685496,7.800343,14,8,8,14,computed,
n193,890.528962,535.277583,278,126,,,18.581276,4.864057,19,5,5,19,computed,
n194,887.208638,633.585177,274,175,,,18.316640,7.925292,18,8,8,18,computed,
n195,886.544573,485.680844,272,103,,,18.184321,3.427151,18,3,3,18,computed,
n196,741.604527,680.543270,220,198,,,14.744043,9.362197,15,9,9,15,computed,
n197,840.645674,680.875302,261,200,,,17.456570,9.487146,17,9,9,17,computed,
n198,693.958562,679.547173,201,193,,,13.487019,9.049827,13,9,9,13,computed,
n199,885.548476,679.215140,270,191,,,18.052003,8.924878,18,9,9,18,computed,
n200,156.314796,626.486061,46,154,,,3.232344,6.613334,3,7,7,3,computed,
n201,106.223104,627.370499,21,156,,,1.578365,6.738282,2,7,7,2,computed,
n202,151.499046,675.869039,38,181,,,2.703071,8.300137,3,8,8,3,computed,
n203,155.270934,719.217174,44,204,,,3.100026,9.737042,3,10,10,3,computed,
n204,149.704409,771.903721,36,235,,,2.570753,11.673742,3,12,12,3,computed,
n205,108.859437,771.634997,24,234,,,1.776842,11.611268,2,12,12,2,computed,
n206,56.600851,773.479077,11,239,,,0.916773,11.923638,1,12,12,1,computed,
n207,13.161876,772.729153,2,238,,,0.321340,11.861164,0,12,12,0,computed,
n208,14.339760,822.784095,4,268,,,0.453658,13.735389,0,14,14,0,computed,
n209,54.946496,824.109375,9,272,,,0.784454,13.985286,1,14,14,1,computed,
n210,109.042050,819.209046,25,252,,,1.843001,12.735803,2,13,13,2,computed,
n211,156.911996,821.015524,47,258,,,3.298504,13.110648,3,13,13,3,computed,
n212,12.825688,870.589267,0,289,,,0.189022,15.047347,0,15,15,0,computed,
n213,57.582829,869.320543,13,283,,,1.049091,14.672502,1,15,15,1,computed,
n214,106.490376,865.939015,22,276,,,1.644524,14.235183,2,14,14,2,computed,
n215,157.473126,867.783095,50,280,,,3.496981,14.485079,3,14,14,3,computed,
n216,17.018423,917.356838,7,311,18,0,0.652136,16.421779,1,16,18,0,seed,"SEED_CONFLICT seed=(18,0) computed=(16,1)"
n217,59.181561,916.569313,15,308,,,1.181410,16.234356,1,16,16,1,computed,
n218,109.645510,919.450994,27,319,,,1.975320,16.921572,2,17,17,2,computed,
n219,157.515456,919.219871,50,318,,,3.496981,16.859098,3,17,17,3,computed,
n220,1373.536384,821.701359,412,262,,,27.446608,13.360544,27,13,13,27,computed,
n221,1325.197329,822.031856,392,264,,,26.123424,13.485493,26,13,13,26,computed,
n222,1374.046386,772.412909,414,237,,,27.578926,11.798690,28,12,12,28,computed,
n223,1423.242378,821.191357,432,259,,,28.769792,13.173122,29,13,13,29,computed,
n224,1325.312300,771.902907,393,235,,,26.189583,11.673742,26,12,12,26,computed,
n225,1373.366384,870.092972,411,287,,,27.380449,14.922398,27,15,15,27,computed,
n226,1324.687327,869.582970,390,284,,,25.991106,14.734976,26,15,15,26,computed,
n227,1424.012367,771.902907,435,235,,,28.968269,11.673742,29,12,12,29,computed,
n228,1422.822363,870.772974,429,290,,,28.571314,15.109821,29,15,15,29,computed,
n229,1373.196383,724.002864,410,216,,,27.314289,10.486732,27,10,10,27,computed,
n230,1423.412379,723.662863,433,214,,,28.835951,10.361784,29,10,10,29,computed,
n231,1325.992302,725.532870,398,221,,,26.520379,10.799103,27,11,11,27,computed,
n232,1277.718061,725.832960,377,222,,,25.131036,10.861578,25,11,11,25,computed,
n233,1277.718061,821.701359,377,262,,,25.131036,13.360544,25,13,13,25,computed,
n234,1277.718061,772.412909,377,237,,,25.131036,11.798690,25,12,12,25,computed,
n235,1374.532482,919.498133,416,319,,,27.711245,16.921572,28,17,17,28,computed,
n236,1467.813147,822.363889,447,266,,,29.762179,13.610441,30,14,14,30,computed,
n237,1278.879493,872.085167,382,294,,,25.461832,15.359718,25,15,15,25,computed,
n238,1474.785829,774.595700,459,242,,,30.556090,12.111061,31,12,12,31,computed,
n239,1471.465504,872.903295,454,296,,,30.225294,15.484666,30,15,15,30,computed,
n240,1470.801439,724.998962,452,219,,,30.092975,10.674155,30,11,11,30,computed,
n241,1325.861393,919.861387,397,321,,,26.454220,17.046520,26,17,17,26,computed,
n242,1424.902541,920.193420,438,323,,,29.166747,17.171469,29,17,17,29,computed,
n243,1278.215428,918.865290,379,316,,,25.263355,16.734149,25,17,17,25,computed,
n244,1469.805342,918.533257,450,314,,,29.960657,16.609201,30,17,17,30,computed,
n245,1180.987779,819.900602,354,254,,,23.609375,12.860751,24,13,13,24,computed,
n246,1181.757767,770.612152,357,232,,,23.807852,11.486319,24,11,11,24,computed,
n247,1180.567763,869.482219,351,284,,,23.410897,14.734976,23,15,15,23,computed,
n248,1181.157779,722.372108,355,210,,,23.675534,10.111887,24,10,10,24,computed,
n249,1225.558548,821.073133,363,258,,,24.204808,13.110648,24,13,13,24,computed,
n250,1232.531229,773.304945,373,239,,,24.866399,11.923638,25,12,12,25,computed,
